,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,VISIT_AREA_NM,total_score,VISIT_AREA_NM_encoded
96,1,30,1,1,2,2,돈내코유원지,1.0,52
97,1,50,2,1,1,1,교래자연휴양림,1.0,9
98,1,20,2,1,1,1,논짓물,1.0,36
99,1,30,1,1,1,1,노루생태관찰원,0.75,33
100,1,20,3,1,1,1,최남단체험감귤농장,1.0,249
101,1,30,1,1,1,1,한라생태숲,0.75,285
102,1,20,1,3,1,3,도두항,1.0,50
103,0,30,2,2,1,2,산방산탄산온천,0.75,105
104,1,30,1,1,1,1,신화테마파크,1.0,150
105,0,30,3,1,3,3,제주도립김창열미술관,0.8333333333333333,207
106,1,30,1,1,2,3,제주별빛누리공원,1.0,213
107,1,40,3,1,3,1,제주센트럴파크,0.6666666666666666,217
108,1,40,2,1,1,1,국립제주박물관,0.9166666666666664,10
109,1,30,3,1,1,1,도두동무지개해안도로,0.5833333333333333,48
110,1,30,1,1,1,1,그랑블루요트투어,1.0,13
111,1,30,2,2,1,3,금능석물원,0.75,17
112,1,20,1,1,1,1,사라봉,0.5833333333333333,100
113,0,40,1,1,1,2,서귀포유람선,1.0,118
114,0,30,1,1,1,1,서귀포천문과학문화관,0.6666666666666666,120
115,0,40,2,2,2,2,수목원테마파크,0.3333333333333332,141
116,1,30,2,3,1,2,루나폴,0.9166666666666664,63
117,1,30,1,1,1,1,비체올린,1.0,99
118,1,30,3,3,1,3,제주카약올레,1.0,227
119,1,50,2,1,2,1,초콜릿박물관,0.0833333333333333,248
120,1,50,2,1,2,1,스팅그레이,1.0,146
121,1,20,1,3,1,1,명월국민학교,1.0,74
122,0,40,1,1,1,1,산지등대,0.75,106
123,0,40,1,1,1,1,김만덕기념관,1.0,23
124,1,30,1,3,3,1,김녕요트투어,1.0,20
125,1,30,1,3,1,1,낙타트래킹,0.5833333333333333,27
126,0,30,1,3,1,1,노형수퍼마켙,0.6666666666666666,35
